Age,Year,Population
102,1864,0
103,1864,0
104,1864,0
105,1864,0
106,1864,0
107,1864,0
108,1864,0
109,1864,0
0,1865,59622
1,1865,56641
2,1865,53920
3,1865,51135
4,1865,47665
5,1865,49487
6,1865,48688
7,1865,47601
8,1865,42867
9,1865,40737
10,1865,40218
11,1865,42935
12,1865,38946
13,1865,36275
14,1865,37896
15,1865,38146
16,1865,39439
17,1865,36262
18,1865,34165
19,1865,33180
20,1865,35130
21,1865,36340
22,1865,33849
23,1865,34534
24,1865,32297
25,1865,33152
26,1865,30403
27,1865,29146
28,1865,29864
29,1865,31060
30,1865,31909
31,1865,32073
32,1865,31673
33,1865,28354
34,1865,26291
35,1865,28444
36,1865,29585
37,1865,28099
38,1865,25659
39,1865,28669
40,1865,29426
41,1865,27642
42,1865,28579
43,1865,27287
44,1865,25772
45,1865,23561
46,1865,22460
47,1865,22728
48,1865,21718
49,1865,22494
50,1865,21512
51,1865,18938
52,1865,16318
53,1865,18885
54,1865,18954
55,1865,17324
56,1865,13627
57,1865,14031
58,1865,14840
59,1865,13993
60,1865,14140
61,1865,13890
62,1865,13147
63,1865,13437
64,1865,11360
65,1865,10206
66,1865,11231
67,1865,11111
68,1865,10688
69,1865,10432
70,1865,8834
71,1865,9181
72,1865,7966
73,1865,7909
74,1865,6469
75,1865,5548
76,1865,4880
77,1865,4519
78,1865,3387
79,1865,3428
80,1865,2658
81,1865,2301
82,1865,1677
83,1865,1605
84,1865,1221
85,1865,1244
86,1865,741
87,1865,618
88,1865,383
89,1865,284
90,1865,589
91,1865,287
92,1865,0
93,1865,0
94,1865,0
95,1865,0
96,1865,0
97,1865,0
98,1865,0
99,1865,0
100,1865,0
101,1865,0
102,1865,0
103,1865,0
104,1865,0
105,1865,0
106,1865,0
107,1865,0
108,1865,0
109,1865,0
0,1866,60874
1,1866,56263
2,1866,54842
3,1866,52495
4,1866,50119
5,1866,46941
6,1866,48872
7,1866,48164
8,1866,47188
9,1866,42547
10,1866,40472
11,1866,39983
12,1866,42702
13,1866,38729
14,1866,36081
15,1866,37683
16,1866,37915
17,1866,39199
18,1866,36006
19,1866,33890
20,1866,32900
21,1866,34843
22,1866,36030
23,1866,33541
24,1866,34240
25,1866,32005
26,1866,32844
27,1866,30109
28,1866,28889
29,1866,29592
30,1866,30760
31,1866,31603
32,1866,31775
33,1866,31393
34,1866,28076
35,1866,25997
36,1866,28143
37,1866,29286
38,1866,27804
39,1866,25356
40,1866,28327
41,1866,29076
42,1866,27303
43,1866,28240
44,1866,26968
45,1866,25457
46,1866,23269
47,1866,22173
48,1866,22436
49,1866,21440
50,1866,22180
51,1866,21192
52,1866,18636
53,1866,16026
54,1866,18571
55,1866,18602
56,1866,16990
57,1866,13325
58,1866,13731
59,1866,14486
60,1866,13618
61,1866,13779
62,1866,13521
63,1866,12761
64,1866,13027
65,1866,10920
66,1866,9761
67,1866,10762
68,1866,10606
69,1866,10188
70,1866,9901
71,1866,8311
72,1866,8643
73,1866,7379
74,1866,7334
75,1866,5928
76,1866,5061
77,1866,4412
78,1866,4056
79,1866,2448
80,1866,3011
81,1866,2289
82,1866,1976
83,1866,1384
84,1866,1326
85,1866,955
86,1866,1008
87,1866,538
88,1866,458
89,1866,257
90,1866,544
91,1866,287
92,1866,0
93,1866,0
94,1866,0
95,1866,0
96,1866,0
97,1866,0
98,1866,0
99,1866,0
100,1866,0
101,1866,0
102,1866,0
103,1866,0
104,1866,0
105,1866,0
106,1866,0
107,1866,0
108,1866,0
109,1866,0
0,1867,56586
1,1867,57539
2,1867,54684
3,1867,53710
